agent_a,agent_b,wins_a,wins_b,ties,errors,games,mean_margin_a
fallow_finn,wheat_walter,0,6,0,0,6,-3633.7
fallow_finn,rotation_rosa,0,6,0,0,6,-7976.3
fallow_finn,homestead_hana,0,6,0,0,6,-13994.0
fallow_finn,melon_mateo,0,6,0,0,6,-17904.0
fallow_finn,rancher_rita,0,6,0,0,6,-47150.7
fallow_finn,broker_bea,0,6,0,0,6,-155137.2
fallow_finn,slotter_silas,0,6,0,0,6,-154099.8
fallow_finn,ledger_lena,0,6,0,0,6,-155048.7
fallow_finn,closer_cleo,0,6,0,0,6,-153221.8
wheat_walter,rotation_rosa,0,6,0,0,6,-4986.0
wheat_walter,homestead_hana,0,6,0,0,6,-10732.3
wheat_walter,melon_mateo,0,6,0,0,6,-12001.2
wheat_walter,rancher_rita,0,6,0,0,6,-23385.5
wheat_walter,broker_bea,0,6,0,0,6,-143946.5
wheat_walter,slotter_silas,0,6,0,0,6,-143177.3
wheat_walter,ledger_lena,0,6,0,0,6,-143803.0
wheat_walter,closer_cleo,0,6,0,0,6,-137511.2
rotation_rosa,homestead_hana,0,6,0,0,6,-1259.7
rotation_rosa,melon_mateo,0,6,0,0,6,-5484.2
rotation_rosa,rancher_rita,0,6,0,0,6,-41367.0
rotation_rosa,broker_bea,0,6,0,0,6,-142265.0
rotation_rosa,slotter_silas,0,6,0,0,6,-141250.7
rotation_rosa,ledger_lena,0,6,0,0,6,-142306.0
rotation_rosa,closer_cleo,0,6,0,0,6,-98567.3
homestead_hana,melon_mateo,2,4,0,0,6,-5978.3
homestead_hana,rancher_rita,0,6,0,0,6,-28768.7
homestead_hana,broker_bea,0,6,0,0,6,-154595.2
homestead_hana,slotter_silas,0,6,0,0,6,-153547.0
homestead_hana,ledger_lena,0,6,0,0,6,-154851.2
homestead_hana,closer_cleo,0,6,0,0,6,-147564.8
melon_mateo,rancher_rita,0,6,0,0,6,-14896.5
melon_mateo,broker_bea,0,6,0,0,6,-111423.0
melon_mateo,slotter_silas,0,6,0,0,6,-111370.2
melon_mateo,ledger_lena,0,6,0,0,6,-111731.0
melon_mateo,closer_cleo,0,6,0,0,6,-121338.8
rancher_rita,broker_bea,0,6,0,0,6,-115465.3
rancher_rita,slotter_silas,0,6,0,0,6,-109888.2
rancher_rita,ledger_lena,0,6,0,0,6,-110735.0
rancher_rita,closer_cleo,0,6,0,0,6,-110289.0
broker_bea,slotter_silas,1,5,0,0,6,-1667.5
broker_bea,ledger_lena,0,6,0,0,6,-2377.8
broker_bea,closer_cleo,0,6,0,0,6,-2352.2
slotter_silas,ledger_lena,4,2,0,0,6,164.5
slotter_silas,closer_cleo,0,6,0,0,6,-2617.2
ledger_lena,closer_cleo,1,5,0,0,6,-1779.7
