agent_a,agent_b,tier_a,tier_b,seed,seat_of_a,bank_a,bank_b,margin_a,winner
fallow_finn,wheat_walter,0,1,7000,0,3000,6694,-3694,wheat_walter
fallow_finn,wheat_walter,0,1,7000,1,3000,6694,-3694,wheat_walter
fallow_finn,wheat_walter,0,1,7001,0,3000,6212,-3212,wheat_walter
fallow_finn,wheat_walter,0,1,7001,1,3000,6939,-3939,wheat_walter
fallow_finn,wheat_walter,0,1,7002,0,3000,6721,-3721,wheat_walter
fallow_finn,wheat_walter,0,1,7002,1,3000,6542,-3542,wheat_walter
fallow_finn,rotation_rosa,0,2,7000,0,3000,11341,-8341,rotation_rosa
fallow_finn,rotation_rosa,0,2,7000,1,3000,11331,-8331,rotation_rosa
fallow_finn,rotation_rosa,0,2,7001,0,3000,9926,-6926,rotation_rosa
fallow_finn,rotation_rosa,0,2,7001,1,3000,9916,-6916,rotation_rosa
fallow_finn,rotation_rosa,0,2,7002,0,3000,11672,-8672,rotation_rosa
fallow_finn,rotation_rosa,0,2,7002,1,3000,11672,-8672,rotation_rosa
fallow_finn,homestead_hana,0,3,7000,0,3000,18208,-15208,homestead_hana
fallow_finn,homestead_hana,0,3,7000,1,3000,18349,-15349,homestead_hana
fallow_finn,homestead_hana,0,3,7001,0,3000,13570,-10570,homestead_hana
fallow_finn,homestead_hana,0,3,7001,1,3000,14516,-11516,homestead_hana
fallow_finn,homestead_hana,0,3,7002,0,3000,18254,-15254,homestead_hana
fallow_finn,homestead_hana,0,3,7002,1,3000,19067,-16067,homestead_hana
fallow_finn,melon_mateo,0,4,7000,0,3000,15563,-12563,melon_mateo
fallow_finn,melon_mateo,0,4,7000,1,3000,15563,-12563,melon_mateo
fallow_finn,melon_mateo,0,4,7001,0,3000,15511,-12511,melon_mateo
fallow_finn,melon_mateo,0,4,7001,1,3000,22075,-19075,melon_mateo
fallow_finn,melon_mateo,0,4,7002,0,3000,28356,-25356,melon_mateo
fallow_finn,melon_mateo,0,4,7002,1,3000,28356,-25356,melon_mateo
fallow_finn,rancher_rita,0,5,7000,0,3000,47043,-44043,rancher_rita
fallow_finn,rancher_rita,0,5,7000,1,3000,47352,-44352,rancher_rita
fallow_finn,rancher_rita,0,5,7001,0,3000,49376,-46376,rancher_rita
fallow_finn,rancher_rita,0,5,7001,1,3000,50727,-47727,rancher_rita
fallow_finn,rancher_rita,0,5,7002,0,3000,53223,-50223,rancher_rita
fallow_finn,rancher_rita,0,5,7002,1,3000,53183,-50183,rancher_rita
fallow_finn,broker_bea,0,6,7000,0,3000,151601,-148601,broker_bea
fallow_finn,broker_bea,0,6,7000,1,3000,160448,-157448,broker_bea
fallow_finn,broker_bea,0,6,7001,0,3000,138220,-135220,broker_bea
fallow_finn,broker_bea,0,6,7001,1,3000,137360,-134360,broker_bea
fallow_finn,broker_bea,0,6,7002,0,3000,181068,-178068,broker_bea
fallow_finn,broker_bea,0,6,7002,1,3000,180126,-177126,broker_bea
fallow_finn,slotter_silas,0,8,7000,0,3000,150575,-147575,slotter_silas
fallow_finn,slotter_silas,0,8,7000,1,3000,159364,-156364,slotter_silas
fallow_finn,slotter_silas,0,8,7001,0,3000,137416,-134416,slotter_silas
fallow_finn,slotter_silas,0,8,7001,1,3000,136596,-133596,slotter_silas
fallow_finn,slotter_silas,0,8,7002,0,3000,179795,-176795,slotter_silas
fallow_finn,slotter_silas,0,8,7002,1,3000,178853,-175853,slotter_silas
fallow_finn,ledger_lena,0,7,7000,0,3000,151502,-148502,ledger_lena
fallow_finn,ledger_lena,0,7,7000,1,3000,160254,-157254,ledger_lena
fallow_finn,ledger_lena,0,7,7001,0,3000,138401,-135401,ledger_lena
fallow_finn,ledger_lena,0,7,7001,1,3000,137496,-134496,ledger_lena
fallow_finn,ledger_lena,0,7,7002,0,3000,181185,-178185,ledger_lena
fallow_finn,ledger_lena,0,7,7002,1,3000,179454,-176454,ledger_lena
fallow_finn,closer_cleo,0,9,7000,0,3000,138446,-135446,closer_cleo
fallow_finn,closer_cleo,0,9,7000,1,3000,148809,-145809,closer_cleo
fallow_finn,closer_cleo,0,9,7001,0,3000,156954,-153954,closer_cleo
fallow_finn,closer_cleo,0,9,7001,1,3000,156954,-153954,closer_cleo
fallow_finn,closer_cleo,0,9,7002,0,3000,166468,-163468,closer_cleo
fallow_finn,closer_cleo,0,9,7002,1,3000,169700,-166700,closer_cleo
wheat_walter,rotation_rosa,1,2,7000,0,6179,11028,-4849,rotation_rosa
wheat_walter,rotation_rosa,1,2,7000,1,6179,11018,-4839,rotation_rosa
wheat_walter,rotation_rosa,1,2,7001,0,6928,11936,-5008,rotation_rosa
wheat_walter,rotation_rosa,1,2,7001,1,6499,11165,-4666,rotation_rosa
wheat_walter,rotation_rosa,1,2,7002,0,5366,10643,-5277,rotation_rosa
wheat_walter,rotation_rosa,1,2,7002,1,5366,10643,-5277,rotation_rosa
wheat_walter,homestead_hana,1,3,7000,0,6040,18683,-12643,homestead_hana
wheat_walter,homestead_hana,1,3,7000,1,5909,18516,-12607,homestead_hana
wheat_walter,homestead_hana,1,3,7001,0,5605,13314,-7709,homestead_hana
wheat_walter,homestead_hana,1,3,7001,1,5335,17041,-11706,homestead_hana
wheat_walter,homestead_hana,1,3,7002,0,6213,16264,-10051,homestead_hana
wheat_walter,homestead_hana,1,3,7002,1,6348,16026,-9678,homestead_hana
wheat_walter,melon_mateo,1,4,7000,0,6579,15459,-8880,melon_mateo
wheat_walter,melon_mateo,1,4,7000,1,6579,15459,-8880,melon_mateo
wheat_walter,melon_mateo,1,4,7001,0,6869,28916,-22047,melon_mateo
wheat_walter,melon_mateo,1,4,7001,1,7083,22410,-15327,melon_mateo
wheat_walter,melon_mateo,1,4,7002,0,6157,15327,-9170,melon_mateo
wheat_walter,melon_mateo,1,4,7002,1,6221,13924,-7703,melon_mateo
wheat_walter,rancher_rita,1,5,7000,0,6648,24581,-17933,rancher_rita
wheat_walter,rancher_rita,1,5,7000,1,6644,24769,-18125,rancher_rita
wheat_walter,rancher_rita,1,5,7001,0,6668,44898,-38230,rancher_rita
wheat_walter,rancher_rita,1,5,7001,1,4911,34834,-29923,rancher_rita
wheat_walter,rancher_rita,1,5,7002,0,6333,24384,-18051,rancher_rita
wheat_walter,rancher_rita,1,5,7002,1,6333,24384,-18051,rancher_rita
wheat_walter,broker_bea,1,6,7000,0,7724,183894,-176170,broker_bea
wheat_walter,broker_bea,1,6,7000,1,7724,183842,-176118,broker_bea
wheat_walter,broker_bea,1,6,7001,0,7451,123054,-115603,broker_bea
wheat_walter,broker_bea,1,6,7001,1,5132,177012,-171880,broker_bea
wheat_walter,broker_bea,1,6,7002,0,7474,124570,-117096,broker_bea
wheat_walter,broker_bea,1,6,7002,1,7263,114075,-106812,broker_bea
wheat_walter,slotter_silas,1,8,7000,0,7724,183040,-175316,slotter_silas
wheat_walter,slotter_silas,1,8,7000,1,7724,182989,-175265,slotter_silas
wheat_walter,slotter_silas,1,8,7001,0,7451,122451,-115000,slotter_silas
wheat_walter,slotter_silas,1,8,7001,1,5133,176152,-171019,slotter_silas
wheat_walter,slotter_silas,1,8,7002,0,7475,123889,-116414,slotter_silas
wheat_walter,slotter_silas,1,8,7002,1,7266,113316,-106050,slotter_silas
wheat_walter,ledger_lena,1,7,7000,0,7733,184319,-176586,ledger_lena
wheat_walter,ledger_lena,1,7,7000,1,7733,184267,-176534,ledger_lena
wheat_walter,ledger_lena,1,7,7001,0,7452,122135,-114683,ledger_lena
wheat_walter,ledger_lena,1,7,7001,1,5136,177458,-172322,ledger_lena
wheat_walter,ledger_lena,1,7,7002,0,7489,124667,-117178,ledger_lena
wheat_walter,ledger_lena,1,7,7002,1,7280,112795,-105515,ledger_lena
wheat_walter,closer_cleo,1,9,7000,0,7664,169698,-162034,closer_cleo
wheat_walter,closer_cleo,1,9,7000,1,7664,169690,-162026,closer_cleo
wheat_walter,closer_cleo,1,9,7001,0,7636,113087,-105451,closer_cleo
wheat_walter,closer_cleo,1,9,7001,1,7274,172561,-165287,closer_cleo
wheat_walter,closer_cleo,1,9,7002,0,7404,116318,-108914,closer_cleo
wheat_walter,closer_cleo,1,9,7002,1,7321,128676,-121355,closer_cleo
rotation_rosa,homestead_hana,2,3,7000,0,8945,9379,-434,homestead_hana
rotation_rosa,homestead_hana,2,3,7000,1,8945,9379,-434,homestead_hana
rotation_rosa,homestead_hana,2,3,7001,0,10359,12318,-1959,homestead_hana
rotation_rosa,homestead_hana,2,3,7001,1,10252,13054,-2802,homestead_hana
rotation_rosa,homestead_hana,2,3,7002,0,9145,9509,-364,homestead_hana
rotation_rosa,homestead_hana,2,3,7002,1,9914,11479,-1565,homestead_hana
rotation_rosa,melon_mateo,2,4,7000,0,10919,15223,-4304,melon_mateo
rotation_rosa,melon_mateo,2,4,7000,1,10929,15223,-4294,melon_mateo
rotation_rosa,melon_mateo,2,4,7001,0,11324,19250,-7926,melon_mateo
rotation_rosa,melon_mateo,2,4,7001,1,10188,22041,-11853,melon_mateo
rotation_rosa,melon_mateo,2,4,7002,0,11957,13850,-1893,melon_mateo
rotation_rosa,melon_mateo,2,4,7002,1,11211,13846,-2635,melon_mateo
rotation_rosa,rancher_rita,2,5,7000,0,10947,61189,-50242,rancher_rita
rotation_rosa,rancher_rita,2,5,7000,1,10947,61189,-50242,rancher_rita
rotation_rosa,rancher_rita,2,5,7001,0,10820,54941,-44121,rancher_rita
rotation_rosa,rancher_rita,2,5,7001,1,10820,54941,-44121,rancher_rita
rotation_rosa,rancher_rita,2,5,7002,0,11971,41709,-29738,rancher_rita
rotation_rosa,rancher_rita,2,5,7002,1,11971,41709,-29738,rancher_rita
rotation_rosa,broker_bea,2,6,7000,0,12838,171284,-158446,broker_bea
rotation_rosa,broker_bea,2,6,7000,1,12848,171425,-158577,broker_bea
rotation_rosa,broker_bea,2,6,7001,0,13680,129633,-115953,broker_bea
rotation_rosa,broker_bea,2,6,7001,1,13680,129539,-115859,broker_bea
rotation_rosa,broker_bea,2,6,7002,0,12721,162700,-149979,broker_bea
rotation_rosa,broker_bea,2,6,7002,1,12765,167541,-154776,broker_bea
rotation_rosa,slotter_silas,2,8,7000,0,12838,170478,-157640,slotter_silas
rotation_rosa,slotter_silas,2,8,7000,1,12848,170619,-157771,slotter_silas
rotation_rosa,slotter_silas,2,8,7001,0,13680,128310,-114630,slotter_silas
rotation_rosa,slotter_silas,2,8,7001,1,13680,128214,-114534,slotter_silas
rotation_rosa,slotter_silas,2,8,7002,0,12725,161813,-149088,slotter_silas
rotation_rosa,slotter_silas,2,8,7002,1,12768,166609,-153841,slotter_silas
rotation_rosa,ledger_lena,2,7,7000,0,12838,171465,-158627,ledger_lena
rotation_rosa,ledger_lena,2,7,7000,1,12848,171606,-158758,ledger_lena
rotation_rosa,ledger_lena,2,7,7001,0,13689,129706,-116017,ledger_lena
rotation_rosa,ledger_lena,2,7,7001,1,13689,129610,-115921,ledger_lena
rotation_rosa,ledger_lena,2,7,7002,0,12739,163013,-150274,ledger_lena
rotation_rosa,ledger_lena,2,7,7002,1,12783,167022,-154239,ledger_lena
rotation_rosa,closer_cleo,2,9,7000,0,12921,130327,-117406,closer_cleo
rotation_rosa,closer_cleo,2,9,7000,1,12931,130239,-117308,closer_cleo
rotation_rosa,closer_cleo,2,9,7001,0,13986,101064,-87078,closer_cleo
rotation_rosa,closer_cleo,2,9,7001,1,13986,101064,-87078,closer_cleo
rotation_rosa,closer_cleo,2,9,7002,0,12801,103977,-91176,closer_cleo
rotation_rosa,closer_cleo,2,9,7002,1,12801,104159,-91358,closer_cleo
homestead_hana,melon_mateo,3,4,7000,0,19866,15866,4000,homestead_hana
homestead_hana,melon_mateo,3,4,7000,1,16337,15418,919,homestead_hana
homestead_hana,melon_mateo,3,4,7001,0,16413,21971,-5558,melon_mateo
homestead_hana,melon_mateo,3,4,7001,1,18187,27442,-9255,melon_mateo
homestead_hana,melon_mateo,3,4,7002,0,16379,29055,-12676,melon_mateo
homestead_hana,melon_mateo,3,4,7002,1,15725,29025,-13300,melon_mateo
homestead_hana,rancher_rita,3,5,7000,0,16447,50183,-33736,rancher_rita
homestead_hana,rancher_rita,3,5,7000,1,16447,49849,-33402,rancher_rita
homestead_hana,rancher_rita,3,5,7001,0,13882,30368,-16486,rancher_rita
homestead_hana,rancher_rita,3,5,7001,1,13882,30368,-16486,rancher_rita
homestead_hana,rancher_rita,3,5,7002,0,14843,50674,-35831,rancher_rita
homestead_hana,rancher_rita,3,5,7002,1,14326,50997,-36671,rancher_rita
homestead_hana,broker_bea,3,6,7000,0,15760,175091,-159331,broker_bea
homestead_hana,broker_bea,3,6,7000,1,15290,159787,-144497,broker_bea
homestead_hana,broker_bea,3,6,7001,0,17883,146928,-129045,broker_bea
homestead_hana,broker_bea,3,6,7001,1,12868,192825,-179957,broker_bea
homestead_hana,broker_bea,3,6,7002,0,14760,180995,-166235,broker_bea
homestead_hana,broker_bea,3,6,7002,1,14905,163411,-148506,broker_bea
homestead_hana,slotter_silas,3,8,7000,0,15768,174171,-158403,slotter_silas
homestead_hana,slotter_silas,3,8,7000,1,15296,158859,-143563,slotter_silas
homestead_hana,slotter_silas,3,8,7001,0,17888,145811,-127923,slotter_silas
homestead_hana,slotter_silas,3,8,7001,1,12872,191984,-179112,slotter_silas
homestead_hana,slotter_silas,3,8,7002,0,14765,179361,-164596,slotter_silas
homestead_hana,slotter_silas,3,8,7002,1,14910,162595,-147685,slotter_silas
homestead_hana,ledger_lena,3,7,7000,0,15781,174755,-158974,ledger_lena
homestead_hana,ledger_lena,3,7,7000,1,15312,160745,-145433,ledger_lena
homestead_hana,ledger_lena,3,7,7001,0,17920,146898,-128978,ledger_lena
homestead_hana,ledger_lena,3,7,7001,1,12890,193453,-180563,ledger_lena
homestead_hana,ledger_lena,3,7,7002,0,14773,181503,-166730,ledger_lena
homestead_hana,ledger_lena,3,7,7002,1,14928,163357,-148429,ledger_lena
homestead_hana,closer_cleo,3,9,7000,0,15226,160775,-145549,closer_cleo
homestead_hana,closer_cleo,3,9,7000,1,15600,161799,-146199,closer_cleo
homestead_hana,closer_cleo,3,9,7001,0,18430,98205,-79775,closer_cleo
homestead_hana,closer_cleo,3,9,7001,1,14428,180964,-166536,closer_cleo
homestead_hana,closer_cleo,3,9,7002,0,13277,192983,-179706,closer_cleo
homestead_hana,closer_cleo,3,9,7002,1,13209,180833,-167624,closer_cleo
melon_mateo,rancher_rita,4,5,7000,0,15471,41395,-25924,rancher_rita
melon_mateo,rancher_rita,4,5,7000,1,15471,41385,-25914,rancher_rita
melon_mateo,rancher_rita,4,5,7001,0,29184,45621,-16437,rancher_rita
melon_mateo,rancher_rita,4,5,7001,1,29225,45617,-16392,rancher_rita
melon_mateo,rancher_rita,4,5,7002,0,14021,16379,-2358,rancher_rita
melon_mateo,rancher_rita,4,5,7002,1,14021,16375,-2354,rancher_rita
melon_mateo,broker_bea,4,6,7000,0,12818,138609,-125791,broker_bea
melon_mateo,broker_bea,4,6,7000,1,12841,147650,-134809,broker_bea
melon_mateo,broker_bea,4,6,7001,0,12885,142771,-129886,broker_bea
