episode_id,create_time,avg_score,min_score,sum_score,agent_count,size_bytes
90542882,2026-08-06T22:25:29.2171038,3081.302969,3077.252860,6162.605938,2,30792042
90556642,2026-08-06T23:38:05.7026070,3075.037856,3062.045913,6150.075713,2,30705806
90555869,2026-08-06T23:34:06.0741548,3066.636949,3063.687070,6133.273898,2,31630657
90559891,2026-08-06T23:54:05.4326391,3064.978154,3039.414436,6129.956307,2,31983828
90557422,2026-08-06T23:42:05.4018464,3063.842379,3057.902758,6127.684759,2,31626249
90550548,2026-08-06T23:05:38.0747184,3059.059228,3035.649712,6118.118457,2,30520419
90557461,2026-08-06T23:42:05.4526976,3057.243218,3021.929330,6114.486436,2,30619552
90544421,2026-08-06T22:33:27.7048531,3056.318373,3022.332266,6112.636747,2,32339214
90533542,2026-08-06T21:37:27.1277004,3056.088190,3055.637027,6112.176380,2,30848918
90539766,2026-08-06T22:09:27.6794493,3054.180543,3016.161872,6108.361086,2,31739551
90560568,2026-08-06T23:58:05.3453409,3053.707214,3014.886905,6107.414429,2,31626960
90555098,2026-08-06T23:30:09.6181201,3053.193882,3045.194295,6106.387765,2,31626607
90559778,2026-08-06T23:54:05.2908458,3050.087043,3012.998227,6100.174086,2,31635984
90555193,2026-08-06T23:30:09.7755661,3047.510080,3009.477126,6095.020160,2,30976298
90558210,2026-08-06T23:46:07.5075304,3047.200268,3018.351108,6094.400536,2,31629622
90554313,2026-08-06T23:25:38.0978756,3044.021543,3017.459350,6088.043087,2,31626940
90546650,2026-08-06T22:45:37.7231247,3043.418745,3018.481952,6086.837490,2,31623822
90551213,2026-08-06T23:09:37.4219888,3043.334658,3041.442821,6086.669316,2,31624226
90537416,2026-08-06T21:57:27.7420405,3043.179077,2999.163848,6086.358154,2,31863439
90558998,2026-08-06T23:50:05.5890703,3041.860376,3002.106642,6083.720752,2,31628571
90553529,2026-08-06T23:21:37.1552196,3039.925221,3016.687710,6079.850442,2,31626017
90534313,2026-08-06T21:41:27.6416413,3039.904631,3016.791658,6079.809263,2,32429273
90558244,2026-08-06T23:46:07.5797848,3039.364056,3022.023225,6078.728112,2,31627321
90553570,2026-08-06T23:21:37.2175266,3039.342915,3008.950399,6078.685831,2,31542442
90530543,2026-08-06T21:21:28.1965076,3038.169252,3027.724989,6076.338503,2,30762316
90538238,2026-08-06T22:01:27.8084558,3035.284969,3004.739709,6070.569938,2,30388695
90535094,2026-08-06T21:45:28.6818373,3034.616372,2995.185392,6069.232743,2,31654524
90424405,2026-08-06T11:41:47.6437378,3033.333723,3021.491343,6066.667447,2,31590886
90554392,2026-08-06T23:25:38.2458422,3033.087872,3027.130891,6066.175744,2,31583202
90538927,2026-08-06T22:05:29.7829514,3032.665273,2994.676291,6065.330545,2,30534235
90556633,2026-08-06T23:38:05.6930258,3032.283660,3021.579869,6064.567321,2,31582627
90560560,2026-08-06T23:58:05.3261010,3032.234587,3026.377394,6064.469174,2,31630697
90534292,2026-08-06T21:41:27.6048211,3031.833824,2995.006791,6063.667647,2,31713988
90532769,2026-08-06T21:33:30.0130920,3031.549183,2998.558624,6063.098365,2,32050050
90532792,2026-08-06T21:33:30.0400949,3031.220130,3004.205942,6062.440261,2,31727829
90531239,2026-08-06T21:25:29.1534158,3030.990066,3017.213667,6061.980132,2,31689987
90536705,2026-08-06T21:53:27.9279507,3030.316748,2992.400370,6060.633497,2,31616717
90559770,2026-08-06T23:54:05.2828325,3029.678807,3020.742294,6059.357615,2,31628870
90531289,2026-08-06T21:25:29.2248223,3028.460194,3022.544685,6056.920388,2,31982870
90552034,2026-08-06T23:13:38.4941895,3028.373010,3021.594300,6056.746021,2,31629667
90522120,2026-08-06T20:37:27.6334587,3028.265812,3018.761533,6056.531624,2,30558524
90550484,2026-08-06T23:05:37.9542892,3026.633918,3014.020492,6053.267837,2,31621274
90549668,2026-08-06T23:01:35.8774856,3025.716674,3007.962740,6051.433348,2,31625318
90343867,2026-08-06T04:29:41.0885140,3022.650002,3006.653558,6045.300004,2,31606690
90345360,2026-08-06T04:37:37.1188688,3022.106479,3005.991550,6044.212958,2,31625118
90558257,2026-08-06T23:46:07.5874658,3021.976256,3021.932519,6043.952511,2,31622902
90548945,2026-08-06T22:57:36.8788039,3021.853260,3015.611389,6043.706519,2,31627407
90523586,2026-08-06T20:45:28.5441974,3021.214926,3019.231775,6042.429851,2,31923281
90342405,2026-08-06T04:21:37.9580968,3020.767674,3008.156541,6041.535347,2,31677804
90538205,2026-08-06T22:01:27.7842517,3020.610395,2980.640181,6041.220790,2,30530423
90554310,2026-08-06T23:25:38.0928671,3020.599177,3018.756574,6041.198355,2,31624242
90550570,2026-08-06T23:05:38.0950678,3019.858237,2946.068642,6039.716474,2,32241844
90541240,2026-08-06T22:17:27.8210862,3019.504254,3011.074347,6039.008509,2,31587488
90552808,2026-08-06T23:17:42.2427327,3019.380899,3014.548382,6038.761798,2,31623223
90540543,2026-08-06T22:13:30.5062213,3019.041596,2965.536469,6038.083191,2,31624493
90525158,2026-08-06T20:53:26.8305490,3018.948777,3005.398533,6037.897554,2,31429430
90546580,2026-08-06T22:45:37.6286855,3018.438475,2999.365219,6036.876950,2,31629025
90532003,2026-08-06T21:29:27.0042578,3018.405425,2985.389787,6036.810849,2,32128022
90554358,2026-08-06T23:25:38.1884861,3018.369666,3016.024430,6036.739331,2,31580756
90536639,2026-08-06T21:53:27.8412483,3018.319472,2954.294346,6036.638944,2,31692199
